image,keywords,caption
1836335410_de8313a64e.jpg,"[('men', 0.9751176307131599), ('adult', 0.7477162610291151), ('night', 0.6225716072497511), ('one person', 0.6066318647093085)]",A man holding a light saber in his hand
2276314067_7ee246f859.jpg,"[('animal', 0.9926922529326966), ('outdoors', 0.9649134865136096), ('mammal', 0.9559961362535686), ('nature', 0.9443984153638965), ('cute', 0.8893783907720954), ('grass', 0.819827560138042), ('farm', 0.6586001378998135), ('pets', 0.6079208145156355)]","Two dogs playing with each other in a field. They are animals, outdoors, and mammals. The scene is in nature, with cute dogs on the grass. The dogs seem to be on a farm. They could be considered pets"
2417341107_97dbab9c5e.jpg,"[('outdoors', 0.8497106319551783), ('sport', 0.691241067764686), ('summer', 0.6447487091554891), ('women', 0.6069089028967035)]","A person doing a handstand on the beach, outdoors, in the summer"
2437266971_b91a8f9a00.jpg,"[('businessman', 0.9564135364578273), ('men', 0.9123552074111266), ('business', 0.6822009351318131), ('business person', 0.6112125574805191), ('suit', 0.6081492386546299)]",A man wearing a mask holding a piece of paper
2521878609_146143708e.jpg,"[('food', 0.9071355481631077), ('pasta', 0.9017886766537881), ('one person', 0.7652642075878531)]",A young boy eating a plate of noodles with a fork
2579268572_d78f8436cb.jpg,"[('outdoors', 0.8197248977082019)]","A roller coaster with a bunch of people on it, outdoors"
2611651553_61f859837e.jpg,"[('women', 0.8502408344636321), ('wet', 0.6271701731757618)]",A woman with face paint on her body
2683985894_167d267dcb.jpg,"[('outdoors', 0.9816180535065623), ('caucasian ethnicity', 0.848258282662286), ('women', 0.7936781480642002), ('lifestyles', 0.7043016946766529), ('adult', 0.6557884189931401)]",A woman dressed as a clown on a cell phone in an outdoors environment
2704379125_9c35650d16.jpg,"[('grass', 0.9786194272253073), ('farm', 0.9541577176625733), ('nature', 0.946122567632783), ('animal', 0.9090186312658637), ('meadow', 0.8999899180125085), ('rural scene', 0.870548940162184), ('outdoors', 0.8596224557228873), ('agriculture', 0.8505501331187282), ('pasture', 0.7920344341780342), ('livestock', 0.7284639383245799)]",A herd of sheep walking across a lush green field
272546805_536c719648.jpg,"[('dog', 0.9996698513666817), ('animal', 0.9653239768728716), ('pets', 0.9541752345433907), ('outdoors', 0.9302860161280309), ('canine', 0.8598149771903987), ('purebred dog', 0.8590189506549863), ('cute', 0.8168461803791746), ('puppy', 0.7926743397344919), ('friendship', 0.6511158670161895)]",A couple of dogs standing in the dirt
2727051596_be65bfb3d3.jpg,"[('child', 0.9749953430543051), ('boys', 0.9125791303019024), ('childhood', 0.8086918914137882), ('fun', 0.7812413608039839), ('smiling', 0.6865150716677872), ('caucasian ethnicity', 0.6803548145482947)]",Two boys in a play area with a colorful umbrella
2754898893_95239c1f19.jpg,"[('women', 0.9904878843194143), ('smiling', 0.9881814232603547), ('adult', 0.9516203163079261), ('outdoors', 0.941773783063417), ('one person', 0.9033336454133886), ('summer', 0.8704632332658867), ('cheerful', 0.8291664158804823), ('happiness', 0.7584797767434819), ('nature', 0.7553233424796718), ('looking at camera', 0.6745467399845718)]",A woman standing on top of a lush green hillside
2771424045_1fdf9617eb.jpg,"[('men', 0.8999506830335938), ('smiling', 0.8736270780295412), ('women', 0.8728495659359636), ('adult', 0.8588596799495117), ('outdoors', 0.7877837948648548)]",A man and a woman with painted faces pose for a picture
2836360729_6500249fe6.jpg,"[('cultures', 0.6024700124580126)]",A man is covered in seaweed on the beach
2876993733_cb26107d18.jpg,"[('seat', 0.9778426287400172), ('chair', 0.9425913104793863), ('sport', 0.9359129774926671), ('in a row', 0.8732245664357235), ('sitting', 0.8211142511423297), ('bleachers', 0.670538574120739), ('audience', 0.6312139351437459)]","A man in a green raincoat sitting in a stadium, surrounded by seats and chairs"
2909609550_070eea49b5.jpg,"[('dog', 0.9868395117614305), ('animal', 0.8274124344385163), ('pets', 0.6897917846359115), ('cute', 0.6590010618101803)]",A small white dog eating a pastry from a person's hand
2915538325_59e11276dd.jpg,"[('flame', 0.8197868810506388), ('fire', 0.7842937355266257), ('natural phenomenon', 0.7842937355266257)]",A group of people standing in front of a large fire
2925577165_b83d31a7f6.jpg,"[('night', 0.9968393677613538), ('car', 0.96717479347113), ('traffic', 0.9436656844596694), ('speed', 0.8291120025262951), ('outdoors', 0.7990238320679125), ('transportation', 0.6348891242480429), ('blurred motion', 0.6303342451119179)]",A city street at night with cars driving on it
2998277360_9b4c0192f1.jpg,"[('one person', 0.8923647808698172), ('men', 0.8426392916504302), ('adult', 0.8365710534259183), ('outdoors', 0.8087460335882172)]",A woman sitting on a curb holding a sign
3004290523_d1319dfdb4.jpg,"[('men', 0.906067931275475), ('african ethnicity', 0.7818230299728145), ('adult', 0.7256842965569706)]",A man holding a camera up to his face
3004291093_35d6fd8548.jpg,"[('men', 0.9811019276692579), ('one person', 0.9537680702445955), ('adult', 0.9257266418369466), ('smiling', 0.8503015558209224), ('young adult', 0.806462987562628), ('males', 0.7882183104137505), ('mobile phone', 0.7132857967695121), ('night', 0.6584971504843744)]",A man with dreadlocks talking on a cell phone
3021318991_fa28e3bca7.jpg,"[('sport', 0.9774066927076988), ('outdoors', 0.8333235521843796), ('athlete', 0.7478138431489105), ('playing', 0.7310018549646662), ('grass', 0.6839743275619236), ('competitive sport', 0.6787136190807621)]",A woman in an orange uniform playing field hockey on a grassy field
3037558954_20115165e3.jpg,"[('sport', 0.9564954487244144), ('sailing', 0.9547705107609167), ('outdoors', 0.9302395682777979), ('water', 0.893586061864879), ('summer', 0.8931694417008649), ('extreme sports', 0.8539803428881374), ('men', 0.7754107600103074), ('wave', 0.7505265310750652), ('recreational pursuit', 0.7412375780291752), ('vacations', 0.7305438042752702)]",A man riding a wind sail on top of a body of water
3039214579_43ef79f931.jpg,"[('bicycle', 0.9082159136225769), ('outdoors', 0.8719096081681439), ('men', 0.7521006881388151), ('cycling', 0.7453211328849642)]",A man standing next to a yellow bicycle in an outdoors environment
307994435_592f933a6d.jpg,"[('men', 0.8674690003294795), ('outdoors', 0.7962777147490442)]",A man in a red jacket giving a thumbs up
3102204862_f1d220230b.jpg,"[('sport', 0.9299449817563973), ('stage', 0.8465932389612726), ('performance space', 0.8465932389612726), ('performance', 0.8116313364292154), ('men', 0.7484421303407527), ('competition', 0.7388494006839775), ('strength', 0.6426458112217286), ('competitive sport', 0.6313534228408308)]","Two men wrestling in a ring with a crowd watching. Sport, stage, performance space, performance, men, competition, and strength are the main elements in this image"
3102363657_dc95fe6850.jpg,"[('child', 0.9007504375990327), ('outdoors', 0.8915439373981513), ('winter', 0.7473029238463308), ('smiling', 0.662758552672441), ('fun', 0.6271641801517138)]","A person in a bee costume holding a child, outdoors, in winter, smiling and having fun"
3139238055_2817a0c7d8.jpg,"[('smiling', 0.8719929419833865), ('women', 0.8375195413192419), ('men', 0.8237191808038333), ('adult', 0.7108688941318944), ('happiness', 0.6925335942450356)]",A group of smiling men and women sitting around a table
3148193539_de9dd48fc8.jpg,"[('outdoors', 0.9323013177616438), ('child', 0.9220578539813402), ('men', 0.8696513770172478), ('african ethnicity', 0.8169894567119225), ('smiling', 0.7540918335993732), ('males', 0.6854904416984557), ('father', 0.6726821221932682), ('happiness', 0.6723006304554053), ('family', 0.6583047663038183), ('sitting', 0.6096956811088603)]",A group of young men riding on the back of a bus
3169777863_d745865784.jpg,"[('sport', 0.8489413047789848), ('women', 0.8445020781747347), ('indoors', 0.8154189826138023), ('adult', 0.8037154865357947), ('dancing', 0.8004824468855767), ('exercising', 0.7506108254328917), ('group of people', 0.7478040860627294), ('young adult', 0.6713324910328309)]","A group of young women standing next to each other, dancing indoors"
3173215794_6bdd1f72d4.jpg,"[('men', 0.8032794592558948), ('women', 0.7160212086943327), ('night', 0.7150915968092904)]",A group of men and women standing in a room next to each other at night
3174726084_c108de0a64.jpg,"[('men', 0.7949764910616205), ('holding', 0.7409885702642471)]",A woman holding a large flag in her hands
3175712926_5a470d0886.jpg,"[('animal', 0.9978972214744678), ('nature', 0.9963700854378629), ('animals in the wild', 0.9823039629789884), ('beak', 0.9770240163094809), ('feather', 0.958703939707888), ('outdoors', 0.9484725922903511), ('flying', 0.6257473415926531)]",A large bird flying over a lush green field
3197891333_b1b0fd1702.jpg,"[('child', 0.9955708671805737), ('smiling', 0.9790698005121109), ('boys', 0.9599571781270668), ('family', 0.9154827879698255), ('happiness', 0.8967194064817036), ('caucasian ethnicity', 0.8199831487243433), ('girls', 0.8172905594283133), ('sitting', 0.8012001005967613), ('cheerful', 0.7930479666086423), ('indoors', 0.7782247817663765)]",A family posing for a picture in front of a Christmas tree
3527261343_efa07ea596.jpg,"[('extreme sports', 0.9928201275099027), ('sport', 0.990888580345719), ('speed', 0.9718804245941158), ('motorcycle', 0.9613337969472926), ('men', 0.9392535384559376), ('sports race', 0.9320833851154084), ('adventure', 0.909029278486069), ('outdoors', 0.8791100447867547), ('motorcycle racing', 0.8435507936303235), ('cycling', 0.8207320187235576)]",A man riding on the back of a red motorcycle
3560726559_4c4bed9f2d.jpg,"[('men', 0.9614601076566857), ('outdoors', 0.9538419831314767), ('nature', 0.9233664201253712), ('women', 0.8086272411053363), ('adult', 0.7455558951370517), ('two', 0.7363368228204674), ('people', 0.7363368228204674), ('caucasian ethnicity', 0.6793158971952569)]",A man and a woman holding hands in a forest
3613955682_3860e116cf.jpg,"[('sport', 0.9778500247836359), ('athlete', 0.8459713627677097), ('men', 0.7108432525340224), ('competitive sport', 0.6027780329262741)]","A group of men standing on top of a soccer field, playing a competitive sport"
3614595423_f9e0ab4fb0.jpg,"[('child', 0.998222484404614), ('girls', 0.9396576400669193), ('smiling', 0.9364756399256683), ('outdoors', 0.915081988219822), ('childhood', 0.8840336357090224), ('happiness', 0.8431467549631759), ('boys', 0.8310277109678169), ('cheerful', 0.779628000106252), ('cute', 0.7098735813587781), ('nature', 0.6766683862423053)]",A group of children standing on top of a tree
3663951804_868982f3f9.jpg,"[('extreme sports', 0.927063478527667), ('stunt', 0.8794460169288578), ('outdoors', 0.870073585360364), ('sport', 0.6406307913050986), ('fun', 0.6268710597031627)]","A man flying through the air while riding a skateboard, performing extreme sports and stunts outdoors"
3687996279_05b5a2a706.jpg,"[('police force', 0.9929063564281262), ('uniform', 0.8611533245739826), ('men', 0.8482230644528707), ('smiling', 0.8151437148054371), ('outdoors', 0.7861944799678395)]",A man in a police uniform holding up a sign
391324644_d23fdf06cb.jpg,"[('men', 0.9415547495707374), ('outdoors', 0.9025464570753035), ('sport', 0.882532606297487), ('one person', 0.7602538849303303), ('jumping', 0.749514209705812), ('stunt', 0.7088511268987803), ('extreme sports', 0.6739245580473655), ('night', 0.6484835815876779)]",A man riding a skateboard on top of a yellow rail
416650559_cd08d3cd96.jpg,[],A man in a Batman costume standing in a hall
481827288_a688be7913.jpg,"[('dog', 0.9940766515179195), ('outdoors', 0.9547949364472194), ('pets', 0.9229747460939639), ('animal', 0.9171428350460676), ('summer', 0.7639480307648622), ('cute', 0.7390368197881932), ('fun', 0.7116661595395619), ('retriever', 0.7089725870896821), ('friendship', 0.678253725294256), ('water', 0.6450449088606731)]",Two dogs playing in the water at the beach
485738889_c2a00876a6.jpg,"[('child', 0.9682239756064063), ('swimming', 0.778860270686722), ('fun', 0.7534184440268877), ('summer', 0.7368042016927819), ('childhood', 0.7094962022842091), ('wet', 0.6622713999204188), ('swimming pool', 0.6382687135689897), ('smiling', 0.635559177201868), ('water', 0.6172853955211558)]",A couple of kids having fun in a swimming pool
513269597_c38308feaf.jpg,"[('dog', 0.9951507927428355), ('outdoors', 0.9864187380104598), ('pets', 0.9840283825512031), ('animal', 0.9747465789659381), ('cute', 0.9302349420334026), ('canine', 0.8690504825904052), ('purebred dog', 0.8000682177423218), ('nature', 0.7892269316612218), ('mammal', 0.7740954535198964), ('grass', 0.7417916186672437)]",A black dog carrying a white frisbee in its mouth
536537638_f5ee42410b.jpg,"[('men', 0.7013394756613858)]",A group of women wearing red hats and scarves
566794036_60f7acdf35.jpg,"[('sport', 0.9978197144368097), ('men', 0.9468234264256489), ('playing', 0.917371828308421), ('athlete', 0.9119943099424433), ('healthy lifestyle', 0.8191073288956361), ('one person', 0.8084877019553317), ('outdoors', 0.8072357938278633), ('ball', 0.805444406266604), ('muscular build', 0.7867342533027035), ('exercising', 0.7503664600778104)]",A shirtless man holding a basketball on a court
732468337_a37075225e.jpg,"[('child', 0.9912669750021119), ('baby', 0.8767374622890216), ('boys', 0.6905103280045527), ('cute', 0.6895373585562752), ('girls', 0.6755764333938646), ('childhood', 0.6062530661596874)]",Two young children sitting on the floor covered in paint
795081510_53fd17d101.jpg,"[('vacations', 0.9549514435187931), ('outdoors', 0.9234705992294054), ('men', 0.8806602329615201), ('nautical vessel', 0.8774877962946777), ('water', 0.8718745491561541), ('family', 0.7891946264496), ('travel', 0.7805353628567313), ('summer', 0.77456027932523), ('lifestyles', 0.7657995870095946), ('nature', 0.7385489348262501)]",A man and a little girl looking out at the ocean
918886676_3323fb2a01.jpg,"[('dog', 0.9984541318294685), ('animal', 0.9726306585855297), ('pets', 0.9486139579453094), ('retriever', 0.882329580778642), ('canine', 0.8225252358850323), ('wet', 0.7780814476398328), ('cute', 0.7595258057388233), ('purebred dog', 0.6690840288845823), ('close-up', 0.6268196968691863), ('puppy', 0.6052488093559164)]",A dog drinking water out of a faucet
